Polarization,Polarization_All,Churn_Rate,Revenue,Avg_Frustration,Active_Users,Mean_Trust,Ingroup_Trust,Outgroup_Trust,Trust_Segregation,Opinion_Clustering,Seed,Condition,Run
0.9790391273542696,0.9892122237058346,0.232,153.60000000000002,1.28125,384.0,0.5,0.5,0.5,1.0,0.0929886218951663,57,M3_no_heal_bonus,15
0.9826434086639948,0.9827318094589804,0.006,497.0,0.5855130784708249,497.0,0.5,0.5,0.5,1.0,0.0661121245763308,57,M5_no_brand_safety,15
0.9170456020914876,0.9900973154123486,0.438,112.4,1.0498220640569396,281.0,0.5,0.5,0.5,1.0,0.1491798171513474,57,REF_baseline,15
0.993807785512018,0.993807785512018,0.0,200.0,0.62,500.0,0.5111938296445339,0.9843899204244032,0.0270827679782903,36.34746349462851,0.0711573082180976,57,M4_full_no_decay,15
0.9787549623730746,0.979421848816463,0.008,198.4,0.6209677419354839,496.0,0.5,0.5,0.5,1.0,0.0888232772188899,58,M0_bridge_intercept,16
0.9877332641238376,0.9896282683941608,0.052,189.6,1.1181434599156117,474.0,0.5,0.5,0.5,1.0,0.0921545906613333,58,M1_heal_only,16
0.9524419287732756,0.9770047504383692,0.212,157.60000000000002,0.8096446700507615,394.0,0.5,0.5,0.5,1.0,0.1187518910735518,58,M2_bridge_drop,16
0.9524419287732756,0.9770047504383692,0.212,157.60000000000002,0.8096446700507615,394.0,0.5,0.5,0.5,1.0,0.1187518910735518,58,M3_no_heal_bonus,16
0.9787549623730746,0.979421848816463,0.008,496.0,0.6209677419354839,496.0,0.5,0.5,0.5,1.0,0.0888232772188899,58,M5_no_brand_safety,16
0.91921515930675,0.9788280835990082,0.372,125.6,0.961783439490446,314.0,0.5,0.5,0.5,1.0,0.1280986794521826,58,REF_baseline,16
0.984491836607638,0.9843471589724324,0.002,199.6,0.6072144288577155,499.0,0.527364185110664,0.989025974025974,0.0345188284518828,28.65178276269185,0.0882892695402192,58,M4_full_no_decay,16
0.9923286018841168,0.9923286018841168,0.0,200.0,0.572,500.0,0.5,0.5,0.5,1.0,0.0635456266083268,59,M0_bridge_intercept,17
0.9947974535969872,0.9957006336046912,0.07,186.0,0.956989247311828,465.0,0.5,0.5,0.5,1.0,0.0697878887601318,59,M1_heal_only,17
0.9862809575084026,0.9941572046935055,0.186,162.8,1.063882063882064,407.0,0.5,0.5,0.5,1.0,0.0845995590190636,59,M2_bridge_drop,17
0.9862809575084026,0.9941572046935055,0.186,162.8,1.063882063882064,407.0,0.5,0.5,0.5,1.0,0.0845995590190636,59,M3_no_heal_bonus,17
0.9923286018841168,0.9923286018841168,0.0,500.0,0.572,500.0,0.5,0.5,0.5,1.0,0.0635456266083268,59,M5_no_brand_safety,17
0.9495815073745216,0.9947081544692892,0.396,120.8,0.7086092715231788,302.0,0.5,0.5,0.5,1.0,0.1182702507205818,59,REF_baseline,17
0.9942362012930648,0.99418933580794,0.002,199.6,0.5651302605210421,499.0,0.5325083836351442,0.9846683673469389,0.0312357954545454,31.523716717246234,0.0641799630140155,59,M4_full_no_decay,17
0.9884699772854486,0.9885972812544482,0.002,199.6,0.4829659318637274,499.0,0.5,0.5,0.5,1.0,0.0879055014617183,60,M0_bridge_intercept,18
0.9946844517811128,0.995172217693461,0.044,191.2,1.1820083682008369,478.0,0.5,0.5,0.5,1.0,0.0921665177401444,60,M1_heal_only,18
0.9958468615966068,0.9962760468219052,0.17,166.0,1.072289156626506,415.0,0.5,0.5,0.5,1.0,0.1136313523921097,60,M2_bridge_drop,18
0.9958468615966068,0.9962760468219052,0.17,166.0,1.072289156626506,415.0,0.5,0.5,0.5,1.0,0.1136313523921097,60,M3_no_heal_bonus,18
0.9884699772854486,0.9885972812544482,0.002,499.0,0.4829659318637274,499.0,0.5,0.5,0.5,1.0,0.0879055014617183,60,M5_no_brand_safety,18
0.9801134850839116,0.9888985951540066,0.352,129.6,1.132716049382716,324.0,0.5,0.5,0.5,1.0,0.1242244145600627,60,REF_baseline,18
0.980743971261602,0.980743971261602,0.0,200.0,0.566,500.0,0.5410932260228035,0.986,0.0329022988505747,29.96751091703056,0.0852516277807322,60,M4_full_no_decay,18
0.990638920473772,0.990638920473772,0.0,200.0,0.532,500.0,0.5,0.5,0.5,1.0,0.060237583486345,61,M0_bridge_intercept,19
0.9944012697616702,0.9945303219973852,0.056,188.8,1.2266949152542372,472.0,0.5,0.5,0.5,1.0,0.0679078514347164,61,M1_heal_only,19
0.9815916296663928,0.9858336238660202,0.216,156.8,1.0408163265306123,392.0,0.5,0.5,0.5,1.0,0.0728311264982183,61,M2_bridge_drop,19
0.9815916296663928,0.9858336238660202,0.216,156.8,1.0408163265306123,392.0,0.5,0.5,0.5,1.0,0.0728311264982183,61,M3_no_heal_bonus,19
0.990638920473772,0.990638920473772,0.0,500.0,0.532,500.0,0.5,0.5,0.5,1.0,0.060237583486345,61,M5_no_brand_safety,19
0.9781021007692536,0.9910035307519822,0.406,118.8,1.1313131313131313,297.0,0.5,0.5,0.5,1.0,0.0966789103152739,61,REF_baseline,19
0.9848729448104018,0.9849467377007884,0.002,199.6,0.5731462925851704,499.0,0.5256270959087861,0.9846936114732724,0.0394590846047156,24.954801190588025,0.070455185586842,61,M4_full_no_decay,19
